blockSize,capacity,deviceId,expansionLimits,filesystemId,freeCapacity,isConfigTransferEnabled,isConfigTransferEnabledValid,isDedupeEnabled,isDedupeSupported,isLogicalCapacityValid,isLogicalFreeCapacityValid,isNDMPRecoveryTarget,isNonStrictWORM,isObjectReplicationTarget,isReadCached,isReadOnly,isSysLocked,isThinProvisioningEnabled,isThinProvisioningEnabledValid,isTiered,isTransferRawXVLsEnabled,isTransferRawXVLsEnabledValid,isTrueSparseFileEnabled,isTrueSparseFileEnabledValid,isUnlimitedExpansion,isWORM,label,logicalCapacity,logicalFreeCapacity,objectId,status,storagePoolId,tierInformation,usedCapacity,usedSnapshotCapacity,virtualServerId,thresholds.liveReset,thresholds.liveSevere,thresholds.liveWarning,thresholds.snapshotReset,thresholds.snapshotSevere,thresholds.snapshotWarning,thresholds.stopGrowingAtSevereLevel,thresholds.totalReset,thresholds.totalSevere,thresholds.totalWarning
4096,3445897560064,1062,16492674416640,B662125E6207DAA80000000000000000,750798626816,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS008,3445897560064,750798626816,42363632313235453632303744414138303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],2695098933248,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,2752864321536,1058,16492674416640,B662126A709F26550000000000000000,816421146624,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS004,2752864321536,816421146624,42363632313236413730394632363535303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],1936443174912,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,19243466752,1069,1099511627776,B66276FC3548B10E0000000000000000,4167716864,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,BVBPM_INTF_T2,19243466752,4167716864,42363632373646433335343842313045303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],15075749888,0,6,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,16478715772928,1071,16492674416640,B662CFA96DCEC6290000000000000000,1253557063680,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,fdi20_INTF_T3,16478715772928,1253557063680,42363632434641393644434543363239303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],15225158709248,0,7,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,4639445483520,1075,19130858078208,B662CFB33E1796CE0000000000000000,712147820544,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,fdi2020ss_INTF_T3,4639445483520,712147820544,42363632434642333345313739364345303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],3927297662976,0,7,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,5717499052032,1073,13962938679296,B662CFB41415BA0D0000000000000000,855869063168,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,fdi2020_INTF_T3,5717499052032,855869063168,42363632434642343134313542413044303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],4861629988864,0,7,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,26046384570368,1080,30236569763840,B662CFBA2A057AEC0000000000000000,3762284462080,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,fdi2020st_INTF_T3,26046384570368,3762284462080,42363632434642413241303537414543303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],22284100108288,0,7,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,3291891105792,1078,3298534883328,B662CFBF008133AD0000000000000000,337920716800,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,fdi23_INTF_T0,3291891105792,337920716800,42363632434642463030383133334144303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],2953970388992,0,7,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,11261739794432,1091,17592186044416,B6631185C485D87B0000000000000000,1610883096576,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,fdi2021st_INTF_T3,11261739794432,1610883096576,42363633313138354334383544383742303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],9650856697856,0,8,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,4389188141056,1090,4398046511104,B66311873AFEE2F40000000000000000,474180513792,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,cartoes22_INTF_T3,4389188141056,474180513792,42363633313138373341464545324634303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],3915007627264,0,8,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
